eid,eulerLeft,eulerRight,site
sub-NDARJX458DVE,56,39,Site-CBIC
sub-NDARJY676CWZ,28,33,Site-CBIC
sub-NDARJZ167VEZ,47,47,Site-CBIC
sub-NDARJZ888UX6,42,45,Site-CBIC
sub-NDARKA958FAH,349,272,Site-CBIC
sub-NDARKB290YNY,31,22,Site-CBIC
sub-NDARKF442GZ5,49,54,Site-CBIC
sub-NDARKG460MWV,159,122,Site-CBIC
sub-NDARKL327YDQ,83,57,Site-CBIC
sub-NDARKM096BGW,322,268,Site-CBIC
sub-NDARKM476GFK,381,340,Site-CBIC
sub-NDARKN477EBH,186,144,Site-CBIC
sub-NDARKN633WZA,76,48,Site-CBIC
sub-NDARKN988BRP,197,114,Site-CBIC
sub-NDARKR155ME9,69,68,Site-CBIC
sub-NDARKU649DB7,73,32,Site-CBIC
sub-NDARKV807EMJ,30,18,Site-CBIC
sub-NDARKW010CT2,16,23,Site-CBIC
sub-NDARKW383ZPF,57,22,Site-CBIC
sub-NDARKX371CJY,239,168,Site-CBIC
sub-NDARKX528PH3,105,142,Site-CBIC
sub-NDARKX788PHG,19,30,Site-CBIC
sub-NDARKZ312XR1,20,19,Site-CBIC
sub-NDARKZ479FC8,436,470,Site-CBIC
sub-NDARLA048NYE,86,75,Site-CBIC
sub-NDARLA788EWU,320,288,Site-CBIC
sub-NDARLB162XP2,181,110,Site-CBIC
sub-NDARLF446MT5,22,26,Site-CBIC
sub-NDARLH881FBD,68,66,Site-CBIC
sub-NDARLK551KXD,97,99,Site-CBIC
sub-NDARLM196YRG,43,40,Site-CBIC
sub-NDARLM313FVX,100,69,Site-CBIC
sub-NDARLU939YX4,37,23,Site-CBIC
sub-NDARLW774VY1,295,282,Site-CBIC
sub-NDARLY114PDC,133,143,Site-CBIC
sub-NDARLY125HMB,57,42,Site-CBIC
sub-NDARLZ701LJ3,24,22,Site-CBIC
sub-NDARMA449YB6,36,55,Site-CBIC
sub-NDARMA584EM0,24,30,Site-CBIC
sub-NDARMB216LA6,88,40,Site-CBIC
sub-NDARMC473UHD,41,53,Site-CBIC
sub-NDARMG451PJA,50,53,Site-CBIC
sub-NDARMK825WAX,36,26,Site-CBIC
sub-NDARMN043YKC,30,20,Site-CBIC
sub-NDARMT461DNB,118,132,Site-CBIC
sub-NDARMT661WCR,38,30,Site-CBIC
sub-NDARMV319CAT,27,30,Site-CBIC
sub-NDARMV605LGH,18,24,Site-CBIC
sub-NDARMV822KWR,333,332,Site-CBIC
sub-NDARMV981GZ7,280,253,Site-CBIC
sub-NDARMY873XG5,58,52,Site-CBIC
sub-NDARMZ366UY8,379,299,Site-CBIC
sub-NDARMZ477MNH,317,379,Site-CBIC
sub-NDARNB905CFU,43,37,Site-CBIC
sub-NDARNE729PN2,261,317,Site-CBIC
sub-NDARNF359TBZ,245,231,Site-CBIC
sub-NDARNF873FCV,28,30,Site-CBIC
sub-NDARNH147WGN,46,29,Site-CBIC
sub-NDARNJ633HHX,33,26,Site-CBIC
sub-NDARNK005BRN,118,167,Site-CBIC
sub-NDARNL587LVL,86,107,Site-CBIC
sub-NDARNL926VB7,35,25,Site-CBIC
sub-NDARNT151UN1,442,522,Site-CBIC
sub-NDARNU770PM5,14,10,Site-CBIC
sub-NDARPB044UXA,22,38,Site-CBIC
sub-NDARPD855ARC,46,29,Site-CBIC
sub-NDARPE752VYE,67,41,Site-CBIC
sub-NDARPF319WV2,605,546,Site-CBIC
sub-NDARPF459CME,74,77,Site-CBIC
sub-NDARPF937BDQ,180,161,Site-CBIC
sub-NDARPH152GU1,531,523,Site-CBIC
sub-NDARPH176EWC,31,30,Site-CBIC
sub-NDARPH513LP3,33,25,Site-CBIC
sub-NDARPL194XDX,37,40,Site-CBIC
sub-NDARPL215MTH,25,21,Site-CBIC
sub-NDARPV535ZUB,271,370,Site-CBIC
sub-NDARPX838GCD,67,56,Site-CBIC
sub-NDARRA719CPH,31,36,Site-CBIC
sub-NDARRB403PDE,224,176,Site-CBIC
sub-NDARRB901DWV,19,30,Site-CBIC
sub-NDARRC295CHW,29,33,Site-CBIC
sub-NDARRC935ATQ,420,474,Site-CBIC
sub-NDARRC982ZE9,52,35,Site-CBIC
sub-NDARRE445RHR,89,75,Site-CBIC
sub-NDARRF059RMB,207,249,Site-CBIC
sub-NDARRK038CBD,204,237,Site-CBIC
sub-NDARRK545WNM,32,38,Site-CBIC
sub-NDARRL315KV3,61,74,Site-CBIC
sub-NDARRL426AD5,48,44,Site-CBIC
sub-NDARRR813CY6,212,217,Site-CBIC
sub-NDARRU290EZV,172,176,Site-CBIC
sub-NDARRU979UBW,54,31,Site-CBIC
sub-NDARRW680PHD,231,197,Site-CBIC
sub-NDARRW974PEF,32,24,Site-CBIC
sub-NDARRX800KW8,114,100,Site-CBIC
sub-NDARRX897XV1,37,41,Site-CBIC
sub-NDARRY006EMB,91,64,Site-CBIC
sub-NDARRY768ZH3,33,18,Site-CBIC
sub-NDARRZ145TFN,384,434,Site-CBIC
sub-NDARTB203DU7,140,82,Site-CBIC
sub-NDARTC227AXA,133,130,Site-CBIC
sub-NDARTC794GZ5,62,72,Site-CBIC
sub-NDARTD925CTP,469,412,Site-CBIC
sub-NDARTE159EC4,121,137,Site-CBIC
sub-NDARTE773XJ5,166,119,Site-CBIC
sub-NDARTF776EYR,111,108,Site-CBIC
sub-NDARTF781TM8,35,24,Site-CBIC
sub-NDARTG679NKQ,44,51,Site-CBIC
sub-NDARTH930FNK,274,336,Site-CBIC
sub-NDARTJ433TB5,23,12,Site-CBIC
sub-NDARTK357VHL,37,42,Site-CBIC
sub-NDARTM501BT2,187,179,Site-CBIC
sub-NDARTR464DCR,313,274,Site-CBIC
sub-NDARUC771VM5,77,72,Site-CBIC
sub-NDARUE398GGV,371,320,Site-CBIC
sub-NDARUF152ARR,88,58,Site-CBIC
sub-NDARUM009GEZ,35,46,Site-CBIC
sub-NDARUP067TM8,57,46,Site-CBIC
sub-NDARUR009YJM,140,127,Site-CBIC
sub-NDARUR126CFH,493,357,Site-CBIC
sub-NDARUT233WU9,219,151,Site-CBIC
sub-NDARUT891XYJ,28,24,Site-CBIC
sub-NDARUU615WPR,63,36,Site-CBIC
sub-NDARUV041YCY,64,43,Site-CBIC
sub-NDARUX086TVT,157,175,Site-CBIC
sub-NDARUX408KJ1,32,25,Site-CBIC
sub-NDARUX534HZQ,292,302,Site-CBIC
sub-NDARUX885LMW,101,53,Site-CBIC
sub-NDARUY339ZLN,735,537,Site-CBIC
sub-NDARUY549PGQ,529,438,Site-CBIC
sub-NDARUZ368BT4,25,32,Site-CBIC
sub-NDARVB012UWL,20,17,Site-CBIC
sub-NDARVB151GXF,70,62,Site-CBIC
sub-NDARVB902GA5,32,29,Site-CBIC
sub-NDARVC195NLH,35,48,Site-CBIC
sub-NDARVC350WVG,296,242,Site-CBIC
sub-NDARVC518NWG,389,386,Site-CBIC
sub-NDARVC673HFA,61,28,Site-CBIC
sub-NDARVC711ZK0,127,119,Site-CBIC
sub-NDARVC964LX0,145,91,Site-CBIC
sub-NDARVD543CMZ,167,163,Site-CBIC
sub-NDARVF159VP9,58,59,Site-CBIC
sub-NDARVG132NF6,36,36,Site-CBIC
sub-NDARVG761NR2,414,387,Site-CBIC
sub-NDARVL190JA8,42,56,Site-CBIC
sub-NDARVL498YX5,521,384,Site-CBIC
sub-NDARVL964HH1,83,77,Site-CBIC
sub-NDARVN363NNQ,52,52,Site-CBIC
sub-NDARVN715MJ9,243,318,Site-CBIC
sub-NDARVN883AU2,510,510,Site-CBIC
sub-NDARVP953BBF,48,28,Site-CBIC
sub-NDARVU320XJZ,128,109,Site-CBIC
sub-NDARVV473XTY,109,50,Site-CBIC
sub-NDARVX547MA0,36,46,Site-CBIC
sub-NDARVY938WR6,26,37,Site-CBIC
sub-NDARWC174VE6,178,173,Site-CBIC
sub-NDARWE898TG8,8,19,Site-CBIC
sub-NDARWG549LCF,127,99,Site-CBIC
sub-NDARWJ414WB8,15,18,Site-CBIC
sub-NDARWK104FLX,24,26,Site-CBIC
sub-NDARWP732GD1,48,39,Site-CBIC
sub-NDARWP817CVB,30,23,Site-CBIC
sub-NDARWR247CE1,15,18,Site-CBIC
sub-NDARWR888KKT,57,35,Site-CBIC
sub-NDARWT715BMK,238,174,Site-CBIC
sub-NDARWU018VDB,183,147,Site-CBIC
sub-NDARWV984WMM,99,98,Site-CBIC
sub-NDARWW480TU2,67,75,Site-CBIC
sub-NDARWZ346RV4,336,413,Site-CBIC
sub-NDARXB692PXC,101,106,Site-CBIC
sub-NDARXB889WUB,164,146,Site-CBIC
sub-NDARXE193CZ1,22,20,Site-CBIC
sub-NDARXF497LYF,118,94,Site-CBIC
sub-NDARXJ452HAJ,247,287,Site-CBIC
sub-NDARXK009VGV,365,352,Site-CBIC
sub-NDARXK986EK6,97,74,Site-CBIC
sub-NDARXL023GFG,270,220,Site-CBIC
sub-NDARXL697DA6,29,24,Site-CBIC
sub-NDARXR123PFR,170,195,Site-CBIC
sub-NDARXR346UT5,43,24,Site-CBIC
sub-NDARXV034WE0,108,102,Site-CBIC
sub-NDARXV094ZHH,65,56,Site-CBIC
sub-NDARXV294YRJ,28,21,Site-CBIC
sub-NDARXY532ZTT,26,24,Site-CBIC
sub-NDARXZ902NFM,46,47,Site-CBIC
sub-NDARYA030ZG7,21,19,Site-CBIC
sub-NDARYA898BRE,231,214,Site-CBIC
sub-NDARYE221LZB,33,26,Site-CBIC
sub-NDARYE379GGT,37,34,Site-CBIC
sub-NDARYE850ZVD,21,11,Site-CBIC
sub-NDARYF272EDC,35,45,Site-CBIC
sub-NDARYF699FW0,32,27,Site-CBIC
sub-NDARYG988PUQ,47,20,Site-CBIC
sub-NDARYH697TPA,105,115,Site-CBIC
sub-NDARYK164AEJ,105,77,Site-CBIC
sub-NDARYM277DEA,109,67,Site-CBIC
sub-NDARYM586MYN,112,75,Site-CBIC
sub-NDARYM994YF0,34,35,Site-CBIC
sub-NDARYN174NPH,25,26,Site-CBIC
sub-NDARYT332LMM,43,35,Site-CBIC
sub-NDARYU120NDA,94,71,Site-CBIC
sub-NDARYZ986HEW,430,311,Site-CBIC
sub-NDARZA511FYF,662,709,Site-CBIC
sub-NDARZE963MEU,11,15,Site-CBIC
sub-NDARZF170TZ0,23,23,Site-CBIC
sub-NDARZG081LYG,257,252,Site-CBIC
sub-NDARZG236AUT,57,60,Site-CBIC
sub-NDARZG861CXJ,370,370,Site-CBIC
sub-NDARZH366BF8,22,29,Site-CBIC
sub-NDARZJ587UZU,81,43,Site-CBIC
sub-NDARZK601NG9,24,16,Site-CBIC
sub-NDARZM739MH6,229,238,Site-CBIC
sub-NDARZM903TNL,25,23,Site-CBIC
sub-NDARZT940RZG,71,56,Site-CBIC
sub-NDARZT957CWG,27,14,Site-CBIC
sub-NDARZW873DN3,23,25,Site-CBIC
sub-NDARZY101JNB,44,26,Site-CBIC
