eid,eulerLeft,eulerRight,site
sub-NDARDZ010EDH,135,115,Site-RU
sub-NDARDZ058NZN,120,99,Site-RU
sub-NDARDZ147ETZ,24,36,Site-RU
sub-NDARDZ528DLZ,45,52,Site-RU
sub-NDARDZ627XFA,161,138,Site-RU
sub-NDAREB093GH6,176,132,Site-RU
sub-NDAREC078VFT,447,421,Site-RU
sub-NDAREC277JCP,74,66,Site-RU
sub-NDAREC480KFA,115,127,Site-RU
sub-NDAREC648WEL,33,41,Site-RU
sub-NDAREC964CRA,163,174,Site-RU
sub-NDARED628HMQ,32,33,Site-RU
sub-NDAREF164ZUJ,21,13,Site-RU
sub-NDAREF389RY2,80,84,Site-RU
sub-NDAREF624KJN,171,201,Site-RU
sub-NDAREF848YWD,48,45,Site-RU
sub-NDAREF893ZM8,36,26,Site-RU
sub-NDAREG561ML5,44,33,Site-RU
sub-NDAREG590BNY,90,84,Site-RU
sub-NDAREH074NG8,473,414,Site-RU
sub-NDAREJ923FZU,462,354,Site-RU
sub-NDAREK575JNM,54,44,Site-RU
sub-NDAREK801BPB,288,226,Site-RU
sub-NDAREM609ZXW,231,254,Site-RU
sub-NDAREM703YFD,265,105,Site-RU
sub-NDAREM731BYM,51,37,Site-RU
sub-NDAREM887YY8,71,60,Site-RU
sub-NDAREN519BLJ,301,290,Site-RU
sub-NDAREN667YTZ,196,140,Site-RU
sub-NDAREP505XAD,21,26,Site-RU
sub-NDARER970AEF,138,82,Site-RU
sub-NDARET550NXC,853,835,Site-RU
sub-NDAREU551GPC,48,40,Site-RU
sub-NDAREV527ZRF,53,63,Site-RU
sub-NDAREV601CE7,338,435,Site-RU
sub-NDAREV617HAP,250,232,Site-RU
sub-NDAREW661NZJ,272,269,Site-RU
sub-NDAREW671HZW,74,52,Site-RU
sub-NDAREX065KJU,160,156,Site-RU
sub-NDAREX091KUR,337,340,Site-RU
sub-NDAREX589EXG,509,452,Site-RU
sub-NDAREY778CR9,32,21,Site-RU
sub-NDARFA165XBV,273,251,Site-RU
sub-NDARFA402LMW,160,113,Site-RU
sub-NDARFA737TG6,29,21,Site-RU
sub-NDARFA815FXE,418,346,Site-RU
sub-NDARFA860RPD,83,49,Site-RU
sub-NDARFB908HVX,277,275,Site-RU
sub-NDARFC203HCD,145,116,Site-RU
sub-NDARFD822TY5,360,299,Site-RU
sub-NDARFE163HVN,14,19,Site-RU
sub-NDARFE299MWU,24,26,Site-RU
sub-NDARFE526NK3,233,187,Site-RU
sub-NDARFF644ZGD,26,33,Site-RU
sub-NDARFG568PXZ,45,33,Site-RU
sub-NDARFK027LB0,84,79,Site-RU
sub-NDARFK477WX9,100,141,Site-RU
sub-NDARFK610GY5,150,142,Site-RU
sub-NDARFM328XW4,18,19,Site-RU
sub-NDARFM948RTJ,19,24,Site-RU
sub-NDARFR095UJK,304,242,Site-RU
sub-NDARFR108JNB,114,187,Site-RU
sub-NDARFR301KKP,38,51,Site-RU
sub-NDARFR820KFF,199,159,Site-RU
sub-NDARFT881VT6,270,377,Site-RU
sub-NDARFT964EU8,33,41,Site-RU
sub-NDARFU444HEF,354,376,Site-RU
sub-NDARFV685ZT2,30,48,Site-RU
sub-NDARFV780ABD,75,55,Site-RU
sub-NDARFW578RU9,216,207,Site-RU
